iterations	thousand
15759	0.1002
15769	0.0994
15779	0.0994
15789	0.0994
15799	0.1
15809	0.0995
15819	0.0991
15829	0.0995
15839	0.099
15849	0.0985
15859	0.0989
15869	0.0996
15879	0.099
15889	0.0987
15899	0.0992
15909	0.0998
15919	0.0996
15929	0.0996
15939	0.0989
15949	0.0989
15959	0.0987
15969	0.0989
15979	0.098
15989	0.0976
15999	0.0977
16009	0.0981
16019	0.0984
16029	0.0981
16039	0.0982
16049	0.0988
16059	0.0974
16069	0.0977
16079	0.0974
16089	0.0971
16099	0.0971
16109	0.0975
16119	0.0973
16129	0.0971
16139	0.0974
16149	0.097
16159	0.097
16169	0.0962
16179	0.0962
16189	0.0963
16199	0.0968
16209	0.0966
16219	0.0969
16229	0.0973
16239	0.0981
16249	0.0975
16259	0.0969
16269	0.0975
16279	0.097
16289	0.0972
16299	0.097
16309	0.097
16319	0.0966
16329	0.0972
16339	0.0977
16349	0.0978
16359	0.0988
16369	0.0984
16379	0.0987
16389	0.0987
16399	0.0989
16409	0.0994
16419	0.0994
16429	0.099
16439	0.0988
16449	0.0983
16459	0.0985
16469	0.0981
16479	0.0977
16489	0.0983
16499	0.0985
16509	0.0988
16519	0.0988
16529	0.0987
16539	0.0986
16549	0.098
16559	0.0983
16569	0.098
16579	0.0977
16589	0.0977
16599	0.0981
16609	0.0982
16619	0.0982
16629	0.0984
16639	0.098
16649	0.0986
16659	0.0987
16669	0.0993
16679	0.0986
16689	0.0985
16699	0.0987
16709	0.0985
16719	0.0988
16729	0.0984
16739	0.0986
16749	0.0988
16759	0.0996
16769	0.0996
16779	0.0995
16789	0.0995
16799	0.0996
16809	0.1002
16819	0.1004
16829	0.0997
16839	0.0997
16849	0.0996
16859	0.1003
16869	0.1003
16879	0.1001
16889	0.1004
16899	0.1004
16909	0.1001
16919	0.1004
16929	0.101
16939	0.1014
16949	0.1012
16959	0.1008
16969	0.1008
16979	0.1012
16989	0.1013
16999	0.1024
17009	0.1028
17019	0.1024
17029	0.1029
17039	0.1028
17049	0.1026
17059	0.1038
17069	0.1038
17079	0.1043
17089	0.1045
17099	0.1051
17109	0.1046
17119	0.1047
17129	0.1048
17139	0.1051
17149	0.1051
17159	0.1053
17169	0.1055
17179	0.1055
17189	0.1056
17199	0.1057
17209	0.1065
17219	0.106
17229	0.1067
17239	0.1058
17249	0.1056
17259	0.1062
17269	0.106
17279	0.1067
17289	0.1065
17299	0.1075
17309	0.1078
17319	0.1083
17329	0.1076
17339	0.1078
17349	0.1082
17359	0.1069
17369	0.107
17379	0.1072
17389	0.107
17399	0.1075
17409	0.1075
17419	0.1077
17429	0.108
17439	0.1079
17449	0.1088
17459	0.1094
17469	0.1098
17479	0.1101
17489	0.11
17499	0.1099
17509	0.1096
17519	0.1092
17529	0.1098
17539	0.1098
17549	0.1105
17559	0.1099
17569	0.1099
17579	0.1098
17589	0.11
17599	0.1109
17609	0.111
17619	0.111
17629	0.1106
17639	0.1109
17649	0.1105
17659	0.1106
17669	0.1102
17679	0.1105
17689	0.1104
17699	0.11
17709	0.1105
17719	0.1109
17729	0.1109
17739	0.1114
17749	0.1112
17759	0.1104
17769	0.1106
17779	0.1108
17789	0.1113
17799	0.1112
17809	0.1109
17819	0.1113
17829	0.1119
17839	0.1118
17849	0.1123
17859	0.1115
17869	0.1112
17879	0.1121
17889	0.1122
17899	0.1124
17909	0.1127
17919	0.1123
17929	0.1127
17939	0.1123
17949	0.1124
17959	0.1128
17969	0.112
17979	0.112
17989	0.1119
17999	0.1115
18009	0.1105
18019	0.1105
18029	0.1102
18039	0.1102
18049	0.1108
18059	0.1105
18069	0.1104
18079	0.1096
18089	0.1103
18099	0.1105
18109	0.1108
18119	0.1107
